Disease,Medication
Asthma,"['Bronchodilators', 'Corticosteroids', 'Oxygen therapy', 'Anti-inflammatory drugs', 'Inhalers']"
Alopecia,"['Antifungal treatments', 'Antibiotics', 'Steroids', 'Hormone therapy', 'Medicated shampoos']"
Anemia,"['Iron supplements', 'Vitamin B12 injections', 'Blood transfusions', 'Erythropoietin', 'Dewormers']"
Arthritis,"['NSAIDs', 'Pain relievers', 'Joint supplements', 'Corticosteroids', 'Physical therapy']"
Cancer,"['Chemotherapy', 'Radiation therapy', 'Surgery', 'Pain management medications', 'Immunotherapy']"
Carnassial Tooth Abscess,"['Antibiotics', 'Pain relievers', 'Tooth extraction', 'Anti-inflammatory drugs', 'Oral rinses']"
Cataracts,"['Anti-inflammatory eye drops', 'Cataract surgery', 'Antibiotics', 'Antioxidant supplements', 'Artificial tear solutions']"
Cherry Eye,"['Anti-inflammatory eye drops', 'Surgical repositioning', 'Antibiotics', 'Topical lubricants', 'Pain management medications']"
Coccidia,"['Antiprotozoal drugs', 'Antibiotics', 'Fluid therapy', 'Nutritional support', 'Probiotics']"
Congestive Heart Failure,"['Diuretics', 'ACE inhibitors', 'Beta-blockers', 'Pimobendan', 'Oxygen therapy']"
Dandruff,"['Medicated shampoos', 'Omega-3 fatty acid supplements', 'Antifungal treatments', 'Antibacterial treatments', 'Moisturizers']"
Degenerative Myelopathy,"['Anti-inflammatory drugs', 'Physical therapy', 'Nutritional supplements', 'Pain management', 'Mobility aids']"
Demodectic Mange,"['Amitraz dips', 'Ivermectin', 'Milbemycin', 'Antibiotics', 'Medicated shampoos']"
Ear Infection,"['Antibiotics', 'Antifungal ear drops', 'Anti-inflammatory medications', 'Ear cleaners', 'Steroids']"
Ear Mites,"['Miticidal ear drops', 'Antibiotics', 'Anti-inflammatory medications', 'Ear cleaners', 'Topical insecticides']"
Ehrlichiosis,"['Doxycycline', 'Tetracycline', 'Supportive care', 'Blood transfusions', 'Pain management']"
Elbow Dysplasia,"['Pain relievers', 'NSAIDs', 'Physical therapy', 'Surgical intervention', 'Joint supplements']"
Fibrosarcoma,"['Surgery', 'Radiation therapy', 'Chemotherapy', 'Pain management medications', 'Anti-inflammatory drugs']"
Flea Allergy Dermatitis,"['Antihistamines', 'Steroids', 'Antibiotics', 'Flea control medications', 'Medicated shampoos']"
Gastric Torsion,"['Emergency surgery', 'IV fluids', 'Antibiotics', 'Pain relievers', 'Gastric decompression']"
Gingivitis,"['Dental cleanings', 'Antibiotics', 'Antibacterial mouth rinses', 'Tooth brushing', 'Pain relievers']"
Glaucoma,"['Eye drops to reduce pressure', 'Pain relievers', 'Surgical intervention', 'Beta-blockers', 'Carbonic anhydrase inhibitors']"
Heartworm,"['Melarsomine injections', 'Doxycycline', 'Prednisone', 'Heartworm preventatives', 'Supportive care']"
Hemangiosarcoma,"['Surgery', 'Chemotherapy', 'Pain management medications', 'Supportive care', 'Immunotherapy']"
High Blood Pressure,"['ACE inhibitors', 'Calcium channel blockers', 'Beta-blockers', 'Diuretics', 'Lifestyle adjustments']"
Hip Dysplasia,"['Pain relievers', 'NSAIDs', 'Physical therapy', 'Joint supplements', 'Surgical correction']"
Hookworm,"['Anthelmintics', 'Iron supplements', 'Dewormers', 'Probiotics', 'Supportive care']"
Hot Spots,"['Topical antibiotics', 'Corticosteroids', 'Antihistamines', 'Medicated shampoos', 'Oral antibiotics']"
Hyperthyroidism,"['Methimazole', 'Radioactive iodine therapy', 'Surgery', 'Beta-blockers', 'Nutritional therapy']"
Hypothyroidism,"['Levothyroxine', 'Synthetic thyroid hormone', 'Dietary management', 'Regular blood tests', 'Supplements']"
Kennel Cough,"['Cough suppressants', 'Antibiotics', 'Anti-inflammatory drugs', 'Bronchodilators', 'Supportive care']"
Keratoconjunctivitis Sicca,"['Artificial tears', 'Cyclosporine eye drops', 'Tacrolimus', 'Anti-inflammatory drugs', 'Antibiotics']"
Liver Disease,"['Ursodeoxycholic acid', 'Antioxidant supplements', 'Dietary management', 'SAMe', 'Milk thistle']"
Liver Shunt,"['Surgical correction', 'Low-protein diet', 'Lactulose', 'Antibiotics', 'Supportive care']"
Lyme Disease,"['Doxycycline', 'Amoxicillin', 'Pain relievers', 'Anti-inflammatory medications', 'Supportive care']"
Nuclear Sclerosis,"['No specific medication', 'Regular monitoring', 'Antioxidant supplements', 'Eye lubricants', 'Vision support therapy']"
Otitis Externa,"['Ear cleaners', 'Antibiotic ear drops', 'Anti-inflammatory medications', 'Antifungal treatments', 'Steroids']"
Parvo,"['IV fluids', 'Antibiotics', 'Antiemetic drugs', 'Nutritional support', 'Antidiarrheal medications']"
Patellar Luxation,"['Pain relievers', 'Surgical correction', 'Physical therapy', 'Joint supplements', 'Anti-inflammatory drugs']"
Periodontitis,"['Dental cleanings', 'Tooth extractions', 'Antibiotics', 'Pain management', 'Mouth rinses']"
Periapical Abscess,"['Root canal treatment', 'Tooth extraction', 'Antibiotics', 'Pain relievers', 'Oral rinses']"
Proliferating Gum Disease,"['Dental cleanings', 'Surgical removal of excess gum tissue', 'Antibiotics', 'Pain relievers', 'Oral rinses']"
Pruritus,"['Antihistamines', 'Corticosteroids', 'Medicated shampoos', 'Fatty acid supplements', 'Anti-itch sprays']"
Pyoderma,"['Antibiotics', 'Antibacterial shampoos', 'Topical ointments', 'Pain relievers', 'Anti-inflammatory drugs']"
Rabies,"['Post-exposure prophylaxis', 'Rabies vaccine', 'Supportive care', 'Pain relievers', 'Sedatives']"
Ringworm,"['Antifungal creams', 'Oral antifungal medications', 'Medicated shampoos', 'Topical ointments', 'Environmental decontamination']"
Roundworm,"['Anthelmintics', 'Dewormers', 'Probiotics', 'Nutritional support', 'Regular deworming schedule']"
Sarcoptic Mange,"['Ivermectin', 'Selamectin', 'Lime sulfur dips', 'Antibiotics', 'Medicated shampoos']"
Sebaceous Adenitis,"['Immunosuppressive drugs', 'Medicated shampoos', 'Fatty acid supplements', 'Antibiotics', 'Antifungal treatments']"
Spondylosis,"['Pain relievers', 'NSAIDs', 'Physical therapy', 'Weight management', 'Surgical intervention']"
